Tract,Income,Population,Population Density,Unemployment (%),Under 18 Population,Under 5 Population,Non-White (%),School Enrollment,Non-Hispanic and Non-Black (%),Highschool Graduate (%),Poverty Rate (%),Owner Occupied,Renter Occupied,Owner Occupied (%),Renter Occupied (%),65 years and over,Under 18 (%),Under 5 (%),65 years and over (%),School Enrollment (%)
232800,45000,5464,6937.650614010965,4.3,1714,352,39.549780380673496,1329,8.100000000000001,33.1,12.5,706,1384,33.77990431,66.22009569,216,0.3136896046852123,0.06442166910688141,0.03953147877013177,0.24322840409956076
232900,46875,7278,5703.556798440533,8.5,1846,595,53.929651003022805,1311,12.799999999999995,33.6,11.1,1001,1936,34.08239700374532,65.91760299625467,587,0.25364111019510854,0.08175322890904095,0.08065402583127233,0.18013190436933224
233001,44542,4161,11398.445595535568,4.9,1455,515,46.431146359048306,1150,16.9,36.5,17.1,465,853,35.28072837632777,64.71927162367223,292,0.34967555875991346,0.12376832492189377,0.07017543859649122,0.27637587118481133
233002,83767,4992,7491.788241453763,8.3,1248,157,49.01842948717949,1197,20.0,20.7,5.0,1104,205,84.33919022154316,15.66080977845684,453,0.25,0.03145032051282051,0.0907451923076923,0.23978365384615385
233003,77616,2555,6555.727053,4.7,656,199,17.10371819960861,451,30.9,29.9,10.1,732,68,91.5,8.5,462,0.25675146771037183,0.07788649706457926,0.18082191780821918,0.17651663405088064
233101,35246,4458,6658.953672425498,6.2,1439,314,15.186182144459398,1207,15.3,30.1,30.7,520,697,42.72801972062449,57.27198027937551,266,0.32279048900852403,0.07043517272319426,0.059668012561686856,0.27074921489457154
233102,35486,7115,7532.720268222351,6.3,2738,708,5.354884047786366,1932,10.900000000000006,25.4,39.0,923,883,51.10741971207088,48.89258028792913,247,0.3848208011243851,0.09950808151791989,0.03471539002108222,0.27153900210822207
233103,38025,5550,8810.957869838187,10.2,2124,598,4.036036036036036,1591,9.399999999999997,29.1,41.1,666,882,43.02325581395349,56.97674418604651,259,0.3827027027027027,0.10774774774774774,0.04666666666666667,0.2866666666666667
233200,53611,6590,5360.601161013641,9.2,2160,734,7.769347496206373,1340,15.700000000000006,36.2,10.7,1309,457,74.12231030577576,25.877689694224237,486,0.3277693474962064,0.11138088012139606,0.07374810318664643,0.20333839150227617
233300,47031,4263,949.4065386781948,4.8,1213,263,10.2275392915787,996,6.599999999999994,27.0,23.4,663,598,52.57731958762887,47.42268041237113,390,0.28454140276800377,0.061693642974431154,0.09148486980999296,0.23363828289936664
233400,34412,2554,2535.038097553046,6.2,623,190,15.661707126076744,417,10.400000000000006,31.2,25.3,366,592,38.20459290187891,61.79540709812108,268,0.24393108848864525,0.07439310884886452,0.10493343774471417,0.16327329678935004
233500,48280,8113,7534.475633329815,10.3,2265,602,8.147417724639467,1653,9.299999999999994,24.9,20.5,1723,530,76.47581003106968,23.524189968930315,799,0.2791815604585234,0.07420189818809318,0.09848391470479477,0.20374707259953162
